year,md,lower,upper,region,parameter
1995,12,7,17,East of England,dur
1996,7,4,14,East of England,dur
1997,9.5,5,14.25,East of England,dur
1998,9,4,16,East of England,dur
1999,8,3,15,East of England,dur
2000,9,3,14,East of England,dur
2001,8,4,15,East of England,dur
2002,7,3,15.75,East of England,dur
2003,7,3,12,East of England,dur
2004,9,5,15,East of England,dur
2005,10.5,6,16,East of England,dur
2006,10,4,14.75,East of England,dur
2007,8,3.5,13.5,East of England,dur
2008,9,3,15,East of England,dur
2009,11,5,19,East of England,dur
2010,10,3,16,East of England,dur
2011,12,4,17,East of England,dur
2012,14,5,19,East of England,dur
2013,13,6,19.25,East of England,dur
2014,11,5,20.75,East of England,dur
2015,13,7,19,East of England,dur
2016,12,5,19,East of England,dur
2017,13,6,20,East of England,dur
2018,15.5,7,21.25,East of England,dur
2019,16,6,22,East of England,dur
1990,8,4,11,London,dur
1991,12,7,18,London,dur
1992,10,6,16,London,dur
1993,10,4,15,London,dur
1994,9,4,14,London,dur
1995,9,5,14,London,dur
1996,9,4,14,London,dur
1997,10,4,16,London,dur
1998,11,5,16,London,dur
1999,9,4,16,London,dur
2000,11,4.75,16,London,dur
2001,11,5,17,London,dur
2002,12,6,19,London,dur
2003,11,5,18,London,dur
2004,12,5,20,London,dur
2005,13,6,20,London,dur
2006,13,6,21,London,dur
2007,13,7,20,London,dur
2008,12,5,20,London,dur
2009,14,6,20,London,dur
2010,14,6,21,London,dur
2011,14,6.75,22.25,London,dur
2012,12,6,20,London,dur
2013,16,8,21.25,London,dur
2014,16,8,25,London,dur
2015,17,9,26,London,dur
2016,20,12,27,London,dur
2017,20,13.25,27,London,dur
2018,18,7,26,London,dur
2019,18,7,25,London,dur
1992,2,1.5,4.5,North East,dur
1993,7,4.5,9.5,North East,dur
1994,2,0.75,5.5,North East,dur
1995,3,1,7,North East,dur
1996,3,1,6,North East,dur
1997,1.5,1,3.75,North East,dur
